id,cohort,litter,date_of_birth,age,sex,diet,ei_1,ei_2,ei_3,ei_4,ei_5,ei_6,ei_7,ei_8,ei_9,ei_10,ei_11,ei_12,ei_13,ei_14,ei_15,ei_16,ei_17,ei_18,ei_19,ei_20,ei_21,ei_22,ei_23,bw_0,bw_1,bw_2,bw_3,bw_4,bw_5,bw_6,bw_7,bw_8,bw_9,bw_10,bw_11,bw_12,bw_13,bw_14,bw_15,bw_16,bw_17,bw_18,bw_19,bw_20,bw_21,bw_22,bw_23,bw_24,fm_0,fm_7,fm_14,fm_21,lm_0,lm_7,lm_14,lm_21
1,0,104,1/14/2018,142,0,3,49,40.18,59.78,53.41,78.89,72.52,73.99,103.39,71.54,80.36,89.18,82.81,74.48,84.77,82.32,89.67,87.22,113.19,97.51,85.75,92.12,68.11,86.24,515.4,,499.4,,494.6,,,503.4,,510.7,512.8,,519.4,,518.5,,519.4,,527.6,,,527.1,,,530.6,77.786,66.059,73.746,81.189,379.316,371.491,380.58,387.257
2,0,104,1/14/2018,142,0,0,86.18,79.98,84.32,85.56,79.98,70.68,71.92,79.36,75.33,89.28,79.98,80.91,82.15,84.63,75.02,78.12,85.87,109.43,56.73,84.94,80.29,70.99,80.29,546.9,,548.1,,552.9,,,555.4,,551.7,553.4,,560.3,,560.6,,553.9,,562.2,,,557.8,,,558.4,61.356,65.913,71.359,71.904,413.671,414.181,416.095,420.662
3,0,104,1/14/2018,142,0,1,277.83,155.33,132.79,142.59,159.25,121.03,125.44,131.32,135.73,140.63,139.65,109.76,109.27,85.26,109.76,107.8,104.86,144.06,56.35,108.29,101.43,91.63,114.66,597.4,,620.7,,636.4,,,660.5,,668.2,685.6,,692.6,,699.3,,696.4,,709.2,,,713.8,,,721.4,78.752,133.248,163.405,179.935,413.576,456.129,465.237,471.727
4,0,104,1/14/2018,142,0,3,223.93,38.22,36.26,95.55,92.61,79.87,96.04,93.1,87.22,71.54,87.22,78.4,119.56,178.85,60.76,72.03,84.77,91.63,76.93,80.85,87.71,66.15,87.71,518.9,,495.4,,503.7,,,519.6,,521.7,522,,526,,525.3,,517.9,,527.5,,,529.5,,,531.6,53.785,51.543,59.111,61.411,397.882,397.209,400.039,409.742
5,0,104,1/14/2018,142,0,3,25.48,22.05,57.33,95.55,90.65,82.32,95.06,89.621,73.01,97.51,96.04,98,71.05,77.91,73.01,91.14,92.61,120.05,52.92,92.61,87.71,74.97,93.59,555.4,,528.1,,540.3,,,555.3,,553.2,558.8,,568.1,,560.8,,563,,571.3,,,568.8,,,573.9,89.187,89.648,95.843,104.915,397.723,395.417,398.294,405.2
6,0,102,1/8/2018,148,0,0,115.94,97.34,95.17,107.88,101.99,97.34,91.76,100.44,102.61,99.2,118.42,73.16,82.46,97.34,98.89,101.37,105.09,127.1,65.72,105.4,108.19,85.87,95.48,617.1,,624.8,,624.9,,,632.5,,634.3,633.4,,636.5,,637.8,,634.6,,645.7,,,644.4,,,645.5,160.394,169.571,174.262,181.964,390.941,391.179,392.901,400.789
7,0,102,1/8/2018,148,0,2,235.69,146.02,104.86,98.98,110.74,91.63,92.12,114.66,93.59,98,118.09,82.32,110.25,86.24,,,,,,,,,,572.2,,581.2,,586.4,,,598.2,,602.9,605.3,,609.8,,619.2,,,,,,,,,,,108.16,126.272,144.759,,395.947,405.166,407.865,
8,0,106,1/4/2018,152,0,2,251.86,99.47,101.43,72.52,103.39,72.03,74.97,68.11,76.44,80.36,93.1,75.46,69.09,74.48,65.66,85.75,73.99,108.29,40.18,61.25,81.83,66.15,72.03,510.3,,515.7,,519.7,,,524,,521.1,520.1,,524.9,,531.4,,530.6,,540.7,,,537.9,,,541,74.038,90.374,102.118,108.21,375.85,365.253,365.605,372.144
9,0,106,1/4/2018,152,0,2,228.83,73.01,107.31,99.47,104.37,91.63,96.53,66.15,93.59,99.47,89.18,84.28,86.73,74.97,70.56,80.85,98.98,110.74,55.86,91.63,73.01,76.44,77.42,523.9,,535.1,,542.5,,,555.7,,552.5,556.1,,564.7,,564.5,,564.3,,575.9,,,573.7,,,573.6,73.272,99.76,109.67,119.876,387.852,389.405,393.29,396.616
10,0,106,1/4/2018,152,0,1,161.7,94.57,124.95,106.33,122.01,108.78,95.55,117.6,109.76,105.35,103.88,84.28,88.2,88.69,78.4,73.5,95.55,92.61,60.27,81.83,85.75,73.01,85.26,550.1,,556.3,,569.6,,,586.5,,588.4,593,,598.5,,605.7,,604,,608.7,,,610.8,,,611.6,133.88,163.614,185.527,193.042,355.855,359.065,363.396,363.632
11,0,101,12/31/2017,156,0,0,88.35,84.32,63.24,73.78,81.22,69.13,62.62,71.92,70.06,87.11,67.27,75.95,76.88,72.23,59.52,61.38,73.78,89.9,53.32,67.89,68.51,61.38,58.28,494.7,,499.4,,494.1,,,499.8,,498.4,500.2,,503.3,,502,,498.2,,507.2,,,505.1,,,501.6,74.746,82.086,84.598,84.576,356.024,351.139,352.533,360.595
12,0,101,12/31/2017,156,0,1,158.27,72.03,134.75,137.2,151.41,112.21,102.41,113.19,133.28,109.76,119.56,86.73,93.1,115.64,73.5,91.63,100.45,117.6,58.31,88.2,102.41,85.75,87.22,496.5,,493.7,,518.8,,,535.2,,551.9,560,,564.1,,571,,573.1,,584.5,,,585.2,,,590.9,94.823,135.731,162.444,180.44,337.939,335.837,346.344,349.701
13,0,101,12/31/2017,156,0,1,152.39,90.16,131.32,120.05,126.91,110.25,106.33,88.69,108.78,96.53,92.12,98,98.98,101.92,84.77,87.22,91.14,114.17,54.88,75.46,93.59,86.24,81.34,535.4,,533.3,,551.6,,,568.8,,566,565.8,,576.4,,584.1,,582.3,,590.1,,,587.6,,,592.5,59.871,91.307,108.531,114.926,406.666,407.279,410.621,413.181
14,0,101,12/31/2017,156,0,0,101.37,79.67,78.12,89.9,92.07,92.69,90.21,77.81,98.89,93.62,98.27,90.83,93.93,95.79,88.04,95.17,88.35,129.58,61.07,90.21,91.14,91.14,107.26,538.6,,538,,542.5,,,549.5,,549.2,539.9,,552.1,,553.6,,552.6,,561.4,,,553.5,,,558.9,72.325,76.844,81.568,84.577,397.095,397.616,401.222,402.676
15,0,101,12/31/2017,156,0,2,227.85,133.77,102.41,-173.95,110.25,91.63,91.14,100.45,105.35,101.43,99.96,87.22,84.77,103.88,69.58,100.94,76.44,112.21,57.33,74.97,106.82,73.5,93.1,538.6,,538,,566.9,,,549.5,,577.4,585.3,,588.1,,592.3,,594.1,,599.1,,,597.9,,,604.8,90.255,114.704,132.679,145.628,399.043,391.204,392.614,387.146
16,0,101,12/31/2017,156,0,3,44.59,80.36,94.57,78.4,109.76,68.11,88.2,88.69,79.38,98.49,77.42,68.11,85.26,87.22,58.8,81.34,75.95,83.3,55.37,63.7,70.07,54.39,68.11,570.7,,559.3,,566.2,,,568.6,,571,571.4,,573.7,,575.2,,572,,576.1,,,571.6,,,570.3,105.75,115.208,127.507,128.729,398.977,383.168,378.119,383.117
17,0,104,1/14/2018,142,1,0,65.72,57.35,55.18,61.07,72.23,54.25,61.69,59.21,49.29,72.23,55.49,49.6,54.56,62.62,58.9,61.07,62.93,74.09,41.85,66.34,70.68,51.46,57.66,309.1,,308,,310.9,,,310.2,,310.1,310.7,,316.3,,315,,315.7,,312.9,,,319.6,,,316.4,58.278,58.074,59.704,61.988,214.255,212.284,208.439,218.473
18,0,104,1/14/2018,142,1,0,68.51,72.85,55.49,73.16,79.67,65.41,62,49.91,60.45,62.93,72.54,49.29,48.36,58.28,53.63,70.06,63.24,69.75,71.61,41.54,75.33,40.3,71.92,309.4,,312.8,,312.9,,,314.2,,312.7,313.8,,315.2,,312.4,,315.1,,318.6,,,320.6,,,322,38.545,41.115,43.213,42.721,230.484,230.641,229.206,238.625
19,0,104,1/14/2018,142,1,3,49.98,41.65,52.92,67.13,65.17,50.96,44.59,57.33,56.35,58.31,55.37,48.51,51.45,65.17,54.88,54.39,51.94,75.95,44.59,63.21,61.25,43.61,58.8,286.6,,283.2,,288.7,,,286.8,,291.2,289.9,,290.2,,294,,289.7,,295.8,,,295.8,,,296.9,42.758,42.218,46.55,47.198,206.299,211.392,209.99,210.147
