id,litter,age,sex,diet,nor_type,ei_0,ei_1,ei_2,ei_3,ei_4,ei_5,ei_6,ei_7,ei_8,ei_9,ei_10,ei_11,ei_12,ei_13,ei_15,ei_16,ei_17,ei_18,ei_19,ei_20,ei_21,ei_22,ei_23,ei_24,ei_25,ei_26,ei_27,ei_28,ei_29,ei_30,bw_m2,bw_m1,bw_0,bw_1,bw_2,bw_3,bw_4,bw_5,bw_6,bw_7,bw_8,bw_9,bw_10,bw_11,bw_12,bw_13,bw_15,bw_16,bw_17,bw_18,bw_19,bw_20,bw_21,bw_22,bw_23,bw_24,bw_25,bw_26,bw_27,bw_28,bw_29,bw_30,fm_m2,lm_m2,fw_m2,tw_m2,fm_29,lm_29,fw_29,tw_29,explore_time,discrimination_index,arm_entries,spontaneous_alternations,arc_hema_area_avg,arc_hema_area_sd,arc_hema_area_cv,arc_iba1_number_avg,arc_iba1_number_sd,arc_iba1_number_cv,arc_iba1_density_avg,arc_iba1_density_sd,arc_iba1_density_cv,arc_slices_counted,ca1_hema_area_avg,ca1_hema_area_sd,ca1_hema_area_cv,ca1_iba1_number_avg,ca1_iba1_number_sd,ca1_iba1_number_cv,ca1_iba1_density_avg,ca1_iba1_density_sd,ca1_iba1_density_cv,ca1_slices_counted
1,101,61,0,0,1,87.11,81.84,93.93,96.72,93,111.29,89.59,107.57,100.44,101.37,105.4,101.99,106.02,82.15,172.98,92.07,115.01,76.57,126.79,115.32,73.16,103.23,78.43,88.04,76.57,98.27,78.12,77.81,81.22,93.93,311,316.4,317.7,317.2,327.1,329.5,338.4,340.6,346.4,354.8,354.3,364.6,368.4,375.6,377.1,371.3,387.6,383,389.2,376.2,393.3,398,398.1,393,408.1,404.7,411.7,409.6,423.1,424.1,422.5,423.3,38.132,235.632,1.03,191.311,64.293,303.248,1.154,246.699,124,0.66,9,78,1016810.16225,39265.88018322225,3.861672674113978,184,77.07572034477957,41.888978448249766,4549.107566640125,2003.8741595648057,44.04983021856362,4,1109153.52925,4647.227608925266,0.41898866895980413,142.75,17.05627939108253,11.948356841388813,3216.9914390685617,377.85400567254663,11.745570755449364,4
2,101,61,0,0,0,89.28,79.98,85.87,87.73,88.35,94.55,85.25,87.42,89.59,99.51,69.75,85.56,82.77,88.97,164.61,81.84,90.83,262.26,98.27,87.42,78.74,101.68,83.7,54.25,60.45,82.77,83.08,90.21,78.12,101.68,300.7,296.5,303.4,309.7,314.9,317,324.6,326.4,335.3,335.5,343.3,350.3,350.7,357.5,357.2,361.6,370.5,367.3,369.7,363.7,374.5,373.1,381.9,385.2,392.1,392.5,397.6,389.1,407.4,396.3,409.1,402.9,26.182,233.123,1.045,192.045,44.927,307.981,1.017,253.371,102,0.25,10,90,973057.8967142857,88491.82766772002,9.094199632573707,329.85714285714283,127.81292132309181,38.74796228937388,8412.869126360234,2872.805467998331,34.14774941639,7,1109678.8015,1867.1851573246936,0.16826356913376556,259.375,29.611472197685234,11.416471208746115,5843.801201169763,669.8902982800626,11.463262955385435,8
3,102,61,0,0,0,86.8,86.8,87.73,87.699,86.8,106.64,84.01,91.14,87.11,97.65,92.07,87.73,88.04,93.62,196.85,105.09,105.71,77.19,114.08,93.62,76.26,106.95,86.49,75.64,84.94,83.7,81.22,84.01,84.94,83.08,330.1,327.3,331,338.8,346.2,350.5,352.6,359,366.3,367.5,374.7,379.2,381.2,391.3,387.5,396.3,408.4,410.6,414.4,413.5,417.5,416.1,421.1,425.8,432.3,445.4,434.2,435,451.2,439.8,449.6,439.5,31.269,258.82,0.813,210.589,52.242,333.429,1.312,276.552,102,0.16,7,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,102,61,0,0,1,90.21,96.1,89.9,102.3,97.34,107.88,86.18,108.19,101.68,97.96,112.53,89.9,110.36,96.41,209.87,101.37,116.87,86.18,117.18,92.69,76.26,101.37,106.02,72.23,107.26,110.05,83.39,78.43,93.93,92.38,365.3,361.1,364.6,368.1,375.1,383.5,391.8,391.7,399.7,403.1,411.3,414.3,422.9,426.7,427.5,432.2,447.1,445.1,452.5,451.8,457.7,455.1,452.9,453.7,478.5,467,483.7,477.4,493.4,490.7,493,486.7,33.413,283.343,0.673,232.352,53.775,371.538,1.41,308.283,87,0.29,7,43,960248.0585,25904.59385920431,2.697698123927455,244,26.745716167890016,10.961359085200826,6343.173220923134,538.1370284400623,8.483719578475364,4,1112753.8026666667,427.45553856086224,0.03841420604777835,283.6666666666667,58.045958802773974,20.46273518311656,6372.744575344771,1301.626722537115,20.424900247421196,3
5,103,61,0,1,1,93.93,129.85,124.95,140.63,129.85,127.4,118.58,110.25,114.17,121.03,119.07,129.85,127.4,107.31,169.54,171.5,135.73,102.9,123.48,90.65,95.06,103.88,92.12,102.41,103.88,111.72,97.51,87.22,91.14,121.52,361.7,365.2,363.6,371.6,380.8,390.4,402.1,402.6,415.1,419,426,433,437.6,451.5,455.5,460.7,452.3,473.6,476.4,484.5,485.9,487.9,487.4,496.3,502.1,499.3,506.5,505.2,515.5,518.7,517.1,521.5,48.908,266.695,1.026,219.242,119.441,341.54,1.638,278.968,123,0.27,15,87,905197.159,124019.93829128622,13.700875776973822,216.4,35.71834262672332,16.505703616785265,6018.257571717644,967.1022848998522,16.06947315523147,5,1112112.9244,594.6671885284298,0.053471835052115856,269.4,47.19427931434063,17.51829224734248,6056.307960201938,1062.7796821613724,17.548309781227434,5
6,103,61,0,1,0,71.92,115.64,117.11,107.31,111.23,121.52,113.19,118.58,91.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254.2,264.4,263.3,272.1,285.1,292.5,297.8,304.3,313.9,320.5,324.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.14,203.126,0.842,168.952,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,104,61,0,1,1,87.73,117.6,121.52,113.19,102.9,131.81,120.05,129.85,115.15,119.56,122.01,122.01,124.95,106.33,133.77,153.86,132.3,110.25,138.18,108.78,99.47,109.27,102.9,95.55,88.2,115.15,63.7,102.9,78.4,105.35,311.5,307.9,309.9,320.5,328.7,336.9,348.8,357.2,367.8,376.2,383.1,392,398.2,409.2,411.1,415.7,398.4,425,428.9,431.6,439.6,444.9,451.1,449.3,462.1,467,472.4,473.5,468.8,484.6,484.7,482.9,45.052,230.806,1.016,191.342,135.947,300.586,1.423,243.052,87,0.2,11,73,954786.8636666667,88166.0583417121,9.234108856831995,285.6666666666667,28.86289428776447,10.103696950209265,7524.146444887517,932.5091892615937,12.393554486106687,6,1112579.3695,577.789950856582,0.05193247032040908,277,74.20820131802915,26.789964374739768,6224.747342989836,1669.92730797356,26.827230342998458,8
8,104,61,0,2,0,84.01,25.97,51.45,76.44,77.91,81.34,93.59,75.46,99.96,91.63,56.84,96.04,102.9,97.51,193.55,94.08,96.04,108.78,294.98,70.56,112.7,85.26,86.73,79.87,73.01,77.91,77.42,89.67,67.13,88.2,321.8,322.1,325.6,308.3,308.8,314.9,315.5,319,327.1,331.1,340.5,346.4,346.4,355.5,359,363.2,376.6,374.5,374.5,384.2,487.6,384,400.6,400.1,403.7,408.1,406.2,405.6,412.6,411.5,415.9,416.7,37.519,243.791,1.045,198.73,66.288,297.599,0.794,245.213,102,0.33,11,82,955327.7465,16727.11507610276,1.7509294728835514,378.5,43.1335136523794,11.395908494684122,9916.379647532429,1302.391005987684,13.133734813307276,2,1097987.0725,10927.675572611108,0.9952462871652898,208.5,50.204581464244875,24.07893595407428,4741.870142600987,1095.9117354091861,23.11138227011974,2
9,105,61,0,1,1,86.18,113.19,129.85,112.21,105.84,118.58,108.78,98.49,114.17,113.68,99.47,111.72,108.29,101.92,185.22,122.99,122.01,100.45,130.34,89.18,86.73,116.62,83.3,87.71,94.57,98,71.05,85.26,79.87,96.04,302,301.9,306.3,311.1,320.7,327.8,333.9,343.3,348.9,352.4,362.6,370.2,374.7,382.9,384.9,390.1,392.7,403.3,411.6,415.3,420.4,424.5,427.5,435.1,434.7,435,443.8,442.6,436,449.3,454.1,450.1,32.193,230.338,1.077,188.518,92.522,311.457,1.279,253.205,57,0.16,12,67,978065.8155,75148.2894014402,7.683357112631874,207.25,81.55315240177211,39.35013384886471,5384.297252522696,2426.5482549026233,45.0671302325613,4,1112572.9945,686.4201290485798,0.061696637653609686,232,60.92618484691127,26.261286571944513,5213.740725292104,1372.7567680516117,26.32959405503813,4
10,105,61,0,0,0,63.55,72.85,67.89,74.09,67.27,84.63,70.06,80.6,69.44,78.74,84.94,71.92,85.56,77.5,156.55,83.08,86.18,75.95,88.04,84.63,69.44,89.9,45.57,91.45,73.16,89.28,62.93,90.83,65.72,85.25,257.4,253.7,254.8,260.6,264,296.6,272.2,276.1,281.6,284.6,288,292.5,298.5,304,305.7,306.9,317.5,316,320.8,314.2,326.2,332.8,335.7,338,339.3,345.1,347.5,344.1,357.8,349.6,357.8,354.8,27.241,198.318,0.878,163.909,39.914,272.391,0.893,223.995,94,0.06,9,67,885349.93225,44871.938906927906,5.068271569512836,250.5,27.35568192045911,10.920431904374894,7071.7994331888485,658.6757834028269,9.314118558164676,4,1107472.47775,9685.08741789217,0.8745217251420014,668.25,118.22401053367571,17.69158406789012,15088.81667564991,2682.2054926043943,17.776115584550077,4
