Slice,Count,Total Area,Average Size,%Area
10_ARC_1.tif-(Colour_1).tif,2,915168.659,457584.329,82.193
10_ARC_1.tif-(Colour_2).tif,257,16911.019,65.802,1.519
10_ARC_2.tif-(Colour_1).tif,13,819405.287,63031.176,73.593
10_ARC_2.tif-(Colour_2).tif,224,15696.842,70.075,1.410
10_ARC_3.tif-(Colour_1).tif,7,912075.426,130296.489,81.916
10_ARC_3.tif-(Colour_2).tif,235,17829.795,75.871,1.601
10_ARC_4.tif-(Colour_1).tif,28,894750.357,31955.370,80.360
10_ARC_4.tif-(Colour_2).tif,286,15738.787,55.031,1.414
10_CA1_1.tif-(Colour_1).tif,3,1111170.535,370390.178,99.797
10_CA1_1.tif-(Colour_2).tif,657,53268.059,81.078,4.784
10_CA1_2.tif-(Colour_1).tif,2,1112988.464,556494.232,99.960
10_CA1_2.tif-(Colour_2).tif,517,43768.384,84.658,3.931
10_CA1_3.tif-(Colour_1).tif,2,1112735.910,556367.955,99.937
10_CA1_3.tif-(Colour_2).tif,803,94034.689,117.104,8.445
10_CA1_4.tif-(Colour_1).tif,14,1092995.002,78071.072,98.164
10_CA1_4.tif-(Colour_2).tif,696,66900.219,96.121,6.008
11_ARC_1.tif-(Colour_1).tif,7,935912.776,133701.825,84.056
11_ARC_1.tif-(Colour_2).tif,240,16595.984,69.150,1.491
11_ARC_2.tif-(Colour_1).tif,42,837733.956,19946.047,75.239
11_ARC_2.tif-(Colour_2).tif,130,8346.184,64.201,0.750
11_ARC_3.tif-(Colour_1).tif,17,749587.254,44093.368,67.322
11_ARC_3.tif-(Colour_2).tif,263,18754.819,71.311,1.684
11_ARC_4.tif-(Colour_1).tif,22,733294.679,33331.576,65.859
11_ARC_4.tif-(Colour_2).tif,208,13353.270,64.198,1.199
11_CA1_1.tif-(Colour_1).tif,1,1113280.750,1113280.750,99.986
11_CA1_1.tif-(Colour_2).tif,322,23815.006,73.960,2.139
11_CA1_2.tif-(Colour_1).tif,1,1113165.625,1113165.625,99.976
11_CA1_2.tif-(Colour_2).tif,469,55154.696,117.601,4.954
11_CA1_3.tif-(Colour_1).tif,1,1112939.875,1112939.875,99.956
11_CA1_3.tif-(Colour_2).tif,292,21692.315,74.289,1.948
11_CA1_4.tif-(Colour_1).tif,2,1112623.946,556311.973,99.927
11_CA1_4.tif-(Colour_2).tif,154,8309.148,53.956,0.746
12_ARC_1.tif-(Colour_1).tif,3,1023421.892,341140.631,91.916
12_ARC_1.tif-(Colour_2).tif,244,14147.104,57.980,1.271
12_ARC_2.tif-(Colour_1).tif,11,923275.225,83934.111,82.921
12_ARC_2.tif-(Colour_2).tif,218,11862.880,54.417,1.065
12_ARC_3.tif-(Colour_1).tif,3,997853.632,332617.877,89.619
12_ARC_3.tif-(Colour_2).tif,263,16254.623,61.805,1.460
12_CA1_1.tif-(Colour_1).tif,58,1035091.990,17846.414,92.964
